Customer_ID,Units_Consumed,Num_Appliances,Hours_Used_Per_Day,Num_People,House_Size_SqFt,AC_Units,Num_Lights,Temperature_C,Monthly_Bill_INR
CUST0073,814,16,16.8,2,3697,3,12,21.1,10394.52
CUST0074,501,12,15.0,4,3753,0,7,44.1,7487.08
CUST0075,650,10,23.6,7,2939,1,6,29.3,8601.46
CUST0076,876,5,2.4,4,1946,3,18,44.0,8692.2
CUST0077,825,7,21.7,4,1454,4,19,31.7,8711.67
CUST0078,708,8,15.2,1,300,1,11,16.0,5736.24
CUST0079,115,11,5.6,4,3600,1,14,29.0,5099.89
CUST0080,709,16,14.3,3,923,1,9,39.7,6894.7
CUST0081,415,17,11.6,5,759,1,2,37.8,4813.17
CUST0082,302,6,13.5,1,3765,0,16,15.2,6130.59
CUST0083,551,13,6.2,1,3825,4,14,34.0,8880.82
CUST0084,912,16,21.1,4,2912,1,7,39.1,9885.61
CUST0085,197,3,4.0,7,3094,4,7,34.0,5181.2
CUST0086,252,12,5.4,1,471,2,10,36.0,3559.37
CUST0087,395,7,6.4,6,1238,2,18,40.2,4839.76
CUST0088,564,8,5.6,1,2621,3,19,30.4,7144.36
CUST0089,906,8,19.1,3,3763,3,19,42.8,10777.75
CUST0090,722,9,4.4,2,3971,1,19,26.0,8698.52
CUST0091,127,16,2.2,2,3913,1,11,37.0,5233.0
CUST0092,213,15,23.5,4,1110,0,4,25.7,3673.1
CUST0093,253,4,11.5,7,2828,1,12,25.6,5145.12
CUST0094,532,18,8.5,5,1369,2,9,37.6,6255.31
CUST0095,769,13,4.3,1,497,4,17,20.0,7202.19
CUST0096,211,9,21.3,3,3163,3,16,16.1,5427.44
CUST0097,924,18,19.1,6,1565,0,2,21.3,8834.61
CUST0098,916,5,4.7,5,1303,1,5,41.1,7857.49
CUST0099,674,13,7.2,6,3285,2,11,41.3,8512.63
CUST0100,237,14,2.7,5,3171,4,12,36.5,5901.34
CUST0101,71,15,9.1,2,486,1,9,25.2,2078.74
CUST0102,966,15,8.0,4,2516,1,10,17.2,9693.84
CUST0103,53,19,16.4,6,2421,3,18,32.0,4477.92
CUST0104,697,6,20.0,3,594,1,13,28.8,6634.02
CUST0105,326,12,14.6,5,3905,0,17,36.3,6595.94
CUST0106,191,3,9.8,2,3806,4,18,43.1,5990.56
CUST0107,660,9,13.1,5,1586,4,10,18.5,7680.13
CUST0108,194,7,23.8,3,356,4,2,32.4,3430.41
CUST0109,90,10,22.4,4,1693,4,9,36.6,4322.56
CUST0110,901,18,23.2,5,3442,0,7,38.5,10425.81
CUST0111,140,6,11.2,3,1389,1,6,40.2,2997.68
CUST0112,576,17,21.8,3,3080,2,7,41.7,8303.47
CUST0113,847,10,10.3,6,1324,0,15,26.4,7544.41
CUST0114,946,18,18.6,4,1372,3,5,29.3,9641.4
CUST0115,226,9,13.8,3,3028,4,16,21.7,5743.19
CUST0116,988,10,23.3,3,2662,2,14,36.3,10584.92
CUST0117,380,16,3.1,6,496,0,6,21.0,3800.93
CUST0118,737,2,11.3,3,1010,4,6,20.6,7106.94
CUST0119,172,4,9.3,1,3875,4,6,30.1,5807.22
CUST0120,438,12,18.7,4,3747,0,10,22.0,7365.09
CUST0121,652,18,18.0,3,1455,2,18,19.9,7463.11
CUST0122,896,7,12.0,1,1057,2,5,26.0,7860.36
CUST0123,184,2,22.6,5,2413,3,5,38.9,5351.53
CUST0124,203,6,22.5,1,2473,1,19,28.5,4814.28
CUST0125,760,14,19.2,7,2938,1,11,42.1,9115.79
CUST0126,215,13,19.0,2,2302,4,17,21.0,5517.64
CUST0127,293,3,13.9,2,781,3,7,38.3,4071.6
CUST0128,503,11,22.9,1,3809,3,17,27.2,8481.05
CUST0129,483,18,4.5,7,1474,3,19,33.3,6480.64
CUST0130,143,18,11.1,5,2469,4,8,29.4,5136.28
CUST0131,73,16,1.3,5,3596,1,19,36.0,4754.33
CUST0132,55,2,10.4,2,651,2,2,38.5,2277.07
CUST0133,477,19,15.5,1,1165,1,9,39.9,5653.56
CUST0134,139,2,16.5,6,811,2,18,43.3,2971.13
CUST0135,728,10,22.0,7,2590,1,5,21.7,8302.46
CUST0136,484,5,5.9,3,1870,1,7,36.7,5453.55
CUST0137,216,19,21.9,7,311,2,4,23.5,3879.28
CUST0138,607,8,11.3,5,2146,4,19,39.2,7535.78
CUST0139,338,11,10.1,3,2088,1,18,39.1,5525.28
CUST0140,655,11,6.5,1,2909,1,16,38.5,7836.34
CUST0141,362,4,16.7,1,736,4,18,18.8,4926.43
CUST0142,512,18,16.6,3,3609,2,11,20.9,8342.91
CUST0143,579,18,15.4,6,2901,2,3,17.4,7707.55
CUST0144,121,8,16.9,3,3132,4,16,32.1,5369.44
CUST0145,580,14,4.7,6,2827,2,10,21.3,7668.7
CUST0146,859,6,19.5,6,763,4,13,32.2,7985.26
CUST0147,723,15,15.6,1,3746,3,11,32.4,9687.81
CUST0148,290,4,21.3,1,2597,0,5,39.1,4919.43
CUST0149,139,18,17.1,6,2944,0,19,38.0,4944.74
CUST0150,691,6,6.0,4,2563,2,4,16.8,7440.16
CUST0151,221,9,20.6,1,1446,3,6,23.4,4153.38
CUST0152,60,6,21.4,5,2347,2,5,34.3,3993.84
CUST0153,809,7,7.5,7,2833,1,11,42.6,8563.45
CUST0154,291,12,4.0,2,1749,1,11,32.3,4569.75
CUST0155,740,10,23.3,4,2648,4,3,29.6,9218.42
CUST0156,447,19,11.1,6,416,1,2,28.8,4736.14
CUST0157,613,14,11.1,5,1757,0,16,22.0,6624.26
CUST0158,813,12,8.3,3,314,1,11,26.1,6920.22
CUST0159,870,12,20.4,3,2300,0,5,21.1,8875.41
CUST0160,756,18,11.9,6,370,2,7,38.0,7243.31
CUST0161,841,11,22.7,2,1042,2,17,39.4,8258.34
CUST0162,330,10,6.5,5,3225,0,14,36.1,5849.26
CUST0163,86,2,4.2,7,1158,4,8,34.2,2812.27
CUST0164,789,2,7.7,7,1938,1,9,30.9,7593.36
CUST0165,208,4,11.2,4,656,3,2,44.4,3152.5
CUST0166,100,4,9.9,7,2529,3,6,33.9,4110.5
CUST0167,959,19,13.2,1,1441,4,14,44.0,9564.44
CUST0168,687,15,14.8,3,3106,2,2,17.3,8778.88
CUST0169,598,18,4.9,3,2227,3,12,34.1,7376.65
CUST0170,182,9,3.3,3,2117,3,11,28.1,4137.18
CUST0171,920,13,17.4,2,3950,3,5,34.3,11231.07
CUST0172,637,17,20.0,2,3182,4,19,37.8,9364.59
CUST0173,440,10,8.6,6,2656,1,16,44.3,6343.96
CUST0174,354,18,1.4,2,1107,0,9,39.9,4169.32
CUST0175,260,2,4.9,7,796,3,7,40.2,3758.77
CUST0176,69,17,17.3,2,2828,4,13,34.9,4857.48
CUST0177,892,16,23.0,3,1209,3,10,35.2,9394.42
CUST0178,428,9,20.1,2,3558,3,19,33.0,7648.24
CUST0179,662,19,11.7,4,301,2,13,43.1,6427.84
CUST0180,932,12,4.0,2,1222,2,2,18.3,8458.83
CUST0181,434,4,1.6,6,1011,1,17,44.9,4540.49
CUST0182,74,19,19.3,7,2157,1,14,35.8,4354.51
CUST0183,738,4,18.7,1,1987,3,14,28.5,7850.0
CUST0184,495,19,10.7,4,1013,0,2,44.4,5469.34
CUST0185,329,14,4.4,3,2720,2,16,32.0,5615.13
CUST0186,150,17,1.2,5,2537,2,8,29.4,4710.71
CUST0187,540,16,5.5,6,1743,3,10,33.8,6637.37
CUST0188,552,18,4.6,2,1472,3,5,17.2,6385.84
CUST0189,279,5,6.4,5,2260,2,8,25.4,4796.45
CUST0190,86,16,1.1,2,2483,3,6,29.3,3995.21
CUST0191,352,12,16.9,2,3924,0,2,36.0,6528.36
CUST0192,467,6,9.8,1,1702,1,12,26.3,5155.59
CUST0193,254,19,4.0,3,3376,0,16,30.7,5814.81
CUST0194,787,11,1.2,5,997,3,9,35.6,7047.2
CUST0195,943,15,10.8,5,3908,1,6,44.9,10950.14
CUST0196,605,13,21.5,5,1835,2,15,29.2,7514.88
CUST0197,911,13,14.7,3,3410,3,14,25.5,10454.5
CUST0198,73,7,1.5,6,2103,3,10,40.8,3275.47
CUST0199,294,6,21.7,7,1266,1,9,35.9,4447.84
CUST0200,124,16,4.8,5,552,3,4,43.4,2822.94
CUST0201,390,18,21.6,4,1500,1,6,22.7,5452.55
CUST0202,898,10,22.0,5,3226,1,11,19.0,9907.59
CUST0203,954,11,19.3,2,3613,4,12,31.1,11224.87
CUST0204,150,10,5.3,2,413,3,2,31.9,2853.93
CUST0205,300,13,12.8,1,3019,1,7,43.1,5854.83
CUST0206,659,19,23.0,3,2490,0,2,20.4,7952.93
CUST0207,507,14,9.6,6,981,0,9,43.6,5325.27
CUST0208,79,11,5.3,3,1886,3,14,29.1,3502.41
CUST0209,433,9,1.3,2,3281,1,9,28.6,6586.91
CUST0210,590,12,7.5,4,3451,3,3,29.0,8223.28
CUST0211,491,5,6.2,2,2938,0,11,34.2,6214.37
CUST0212,868,9,16.6,1,1278,1,8,17.1,7876.54
CUST0213,222,11,1.9,1,3325,1,10,38.0,5271.49
CUST0214,685,14,22.2,1,1418,2,12,22.4,7224.5
CUST0215,994,15,23.8,4,2974,3,19,35.6,11391.68
CUST0216,987,12,16.6,4,1674,3,9,42.7,9749.74
CUST0217,274,7,14.1,3,2414,3,2,37.6,5409.64
CUST0218,306,5,3.7,5,3052,4,18,39.6,6109.52
CUST0219,635,12,21.7,7,2036,4,6,42.2,8070.13
CUST0220,165,5,17.6,6,366,4,9,42.7,3202.27
CUST0221,728,5,12.7,3,1825,1,8,39.8,7405.83
CUST0222,877,19,4.8,3,3889,0,13,24.7,10244.3
CUST0223,782,5,16.2,7,1558,1,4,39.9,7661.32
CUST0224,172,12,20.7,2,2393,4,6,31.0,5026.27
CUST0225,148,4,22.9,1,882,1,9,39.5,2887.74
CUST0226,714,19,5.0,4,2109,1,7,30.2,7968.83
CUST0227,96,7,12.3,3,2530,0,10,20.8,3609.93
CUST0228,99,6,1.8,6,531,0,15,31.4,1429.45
CUST0229,370,8,9.6,6,3918,3,12,37.9,6975.07
CUST0230,782,15,21.5,2,2563,2,7,20.9,9061.91
CUST0231,771,15,6.8,7,1746,0,3,27.6,7632.84
CUST0232,166,8,4.1,1,1968,1,4,23.0,3098.76
CUST0233,502,11,20.6,6,1688,0,15,34.8,6150.85
CUST0234,461,7,5.4,2,3155,4,7,38.9,7239.99
CUST0235,86,16,11.4,1,3521,2,18,22.0,4949.23
CUST0236,594,2,1.7,7,3011,2,17,45.0,7161.55
CUST0237,881,15,14.3,4,2712,2,13,34.9,9796.73
CUST0238,971,4,1.1,2,984,0,10,27.7,7660.31
CUST0239,559,3,4.8,3,3040,2,11,28.8,7236.24
CUST0240,561,14,11.2,6,822,3,3,36.2,6103.39
CUST0241,788,12,2.0,4,1049,4,10,24.8,7712.45
CUST0242,470,11,11.7,7,1924,2,16,42.0,6439.46
CUST0243,279,9,6.0,2,1364,1,9,35.8,3849.3
CUST0244,97,3,17.5,6,3451,1,4,41.1,4192.0
CUST0245,571,12,7.2,2,3520,4,15,21.3,8161.97
CUST0246,463,8,2.3,7,3840,3,2,32.0,7443.75
CUST0247,938,11,23.9,5,450,1,9,22.2,8029.67
CUST0248,220,8,9.2,5,726,1,17,18.5,3478.41
CUST0249,340,3,1.4,6,3368,0,14,26.0,5510.42
CUST0250,426,16,14.8,3,1128,0,11,42.3,4992.03
CUST0251,494,8,8.2,4,1897,0,15,44.7,6022.9
CUST0252,590,9,17.7,2,3128,4,6,28.6,8565.58
CUST0253,883,8,5.5,5,2466,2,14,20.0,8953.05
CUST0254,446,15,11.0,6,2318,2,10,26.7,6526.3
CUST0255,329,11,5.3,6,3840,1,11,28.8,6757.57
CUST0256,196,10,7.4,4,442,4,3,40.1,3144.9
CUST0257,656,18,12.8,2,2704,1,7,29.7,8065.07
CUST0258,523,12,7.0,4,946,3,14,35.4,5863.1
CUST0259,372,8,13.6,1,1596,1,18,41.2,4897.72
CUST0260,682,16,19.8,1,1923,1,8,41.4,7838.75
CUST0261,710,8,18.8,1,2206,0,15,16.1,7538.47
CUST0262,935,9,16.3,3,2031,3,13,23.0,9745.16
CUST0263,92,7,5.5,6,1740,2,3,27.7,3310.6
CUST0264,611,10,16.8,6,2793,2,6,33.2,7869.99
CUST0265,655,14,10.7,4,1308,1,14,44.3,6993.92
CUST0266,956,4,1.3,1,2392,4,3,42.5,9254.72
CUST0267,991,14,20.9,2,2910,0,4,29.3,10652.34
CUST0268,563,12,3.4,3,2424,4,18,43.6,7544.77
CUST0269,676,9,6.2,4,3268,3,15,25.6,8429.07
CUST0270,300,2,11.3,7,639,1,12,39.9,3593.65
CUST0271,224,10,5.5,3,1608,1,10,34.2,3730.94
CUST0272,309,17,14.9,4,3384,0,2,43.5,6368.65
CUST0273,834,2,16.3,5,369,2,15,15.5,6912.76
CUST0274,788,13,1.3,3,329,0,17,33.6,6405.94
CUST0275,503,6,2.0,1,1428,4,14,27.3,5785.66
CUST0276,334,18,8.0,7,1109,4,17,43.8,5283.82
CUST0277,126,11,13.4,6,2833,4,3,21.7,4999.15
CUST0278,808,7,19.2,1,1136,2,7,31.2,7873.18
CUST0279,409,15,16.1,1,377,3,14,26.5,4814.25
CUST0280,895,18,5.9,5,2971,3,15,15.6,10051.14
CUST0281,78,7,5.1,3,2819,1,6,39.9,3565.08
CUST0282,583,9,13.8,1,2763,4,12,37.1,7574.95
CUST0283,345,5,2.5,2,2187,0,9,15.2,4712.93
CUST0284,166,13,15.8,3,1769,0,4,26.9,3409.59
CUST0285,97,2,2.2,4,675,4,4,28.1,2324.29
CUST0286,184,9,19.1,5,1312,3,2,23.0,3721.73
CUST0287,482,9,20.6,1,1276,2,13,35.4,5968.97
CUST0288,349,7,10.4,6,930,4,19,16.9,4621.42
CUST0289,102,13,4.6,3,1797,3,18,31.6,3874.6
CUST0290,155,13,9.5,4,2757,2,13,43.1,5086.28
CUST0291,642,18,18.2,2,3371,3,16,34.2,8953.58
CUST0292,162,17,2.3,4,3932,2,5,25.0,5482.62
CUST0293,839,13,16.5,5,414,2,17,21.8,7899.96
CUST0294,166,19,7.6,1,2507,4,14,34.6,4942.47
CUST0295,795,12,23.2,5,2026,0,4,31.7,8609.34
CUST0296,818,12,17.0,7,3767,4,18,25.5,10477.5
CUST0297,741,13,17.5,5,2974,1,2,25.2,8659.73
CUST0298,873,7,7.3,4,2385,3,7,21.3,9042.21
CUST0299,682,6,12.8,3,1787,2,6,40.7,7252.54
CUST0300,644,19,7.3,7,3102,1,8,32.8,8257.19
